word_id	seg_id	language	orth	phon	start	end	duration	lemma	POS	TAG	file	spkr_id	num_phon	split
DEU064_56_23	DEU064_56	DEU	gestattet	g etu S t a t etu t	9.64	10.15	0.51	statten	VERB	VVPP	German/wav/064/GE064_56.wav	DEU064	8	DEV
DEU016_61_18	DEU016_61	DEU	aufkündigen	a u f k n d i g etu n	6.43	6.99	0.56	aufkündigen	VERB	VVFIN	German/wav/016/GE016_61.wav	DEU016	10	DEV
DEU002_135_8	DEU002_135	DEU	verschärfen	f e r S r f etu n	3.36	3.95	0.59	verschärfen	VERB	VVINF	German/wav/002/GE002_135.wav	DEU002	8	DEV
DEU070_56_20	DEU070_56	DEU	beraten	b etu r al t etu n	7.26	7.75	0.49	beraten	VERB	VVINF	German/wav/070/GE070_56.wav	DEU070	7	DEV
DEU014_37_15	DEU014_37	DEU	vorzuziehen	f ol r ts u ts il etu n	4.42	5.12	0.7	vorziehen	VERB	VVIZU	German/wav/014/GE014_37.wav	DEU014	9	DEV
DEU030_96_13	DEU030_96	DEU	erzwungen	e r ts v u ng etu n	5.73	6.25	0.52	erzwingen	VERB	VVPP	German/wav/030/GE030_96.wav	DEU030	8	DEV
DEU007_127_7	DEU007_127	DEU	getroffen	g etu t r o f etu n	2.74	3.22	0.48	triefen	VERB	VVPP	German/wav/007/GE007_127.wav	DEU007	8	DEV
DEU016_2_13	DEU016_2	DEU	kommandiert	k o m a n d il r t	3.46	3.87	0.41	kommandieren	VERB	VVPP	German/wav/016/GE016_2.wav	DEU016	9	DEV
DEU009_140_22	DEU009_140	DEU	mißdeutete	m i d eU t etu t etu	9.84	10.3	0.46	mißdeutete	VERB	VVFIN	German/wav/009/GE009_140.wav	DEU009	8	DEV
DEU009_161_24	DEU009_161	DEU	anfallen	a n f a l etu n	10.93	11.5	0.57	anfallen	VERB	VVINF	German/wav/009/GE009_161.wav	DEU009	7	DEV
DEU009_179_16	DEU009_179	DEU	verbessern	f e r b e s etu r n	6.77	7.33	0.56	verbessern	VERB	VVINF	German/wav/009/GE009_179.wav	DEU009	9	DEV
DEU020_96_15	DEU020_96	DEU	verschlechtert	f e r S l e C t etu r t	4.21	5.26	1.05	verschlechtern	VERB	VVPP	German/wav/020/GE020_96.wav	DEU020	11	DEV
DEU054_71_10	DEU054_71	DEU	geduldet	g etu d u l d etu t	2.81	3.33	0.52	gedulden	VERB	VVPP	German/wav/054/GE054_71.wav	DEU054	8	DEV
DEU030_150_15	DEU030_150	DEU	ausgeprägt	a u s g etu p r k t	4.29	5.0	0.71	ausprägen	VERB	ADJD	German/wav/030/GE030_150.wav	DEU030	9	DEV
DEU070_11_18	DEU070_11	DEU	gestalten	g etu S t a l t etu n	7.52	8.06	0.54	gestalten	VERB	VVINF	German/wav/070/GE070_11.wav	DEU070	9	DEV
DEU055_51_7	DEU055_51	DEU	zurückgewiesen	ts u atu k g etu v il z etu n	2.5	3.28	0.78	zurückweisen	VERB	VVFIN	German/wav/055/GE055_51.wav	DEU055	11	DEV
DEU072_37_7	DEU072_37	DEU	formulieren	f o r m ul l il r etu n	2.78	3.68	0.9	formulieren	VERB	VVINF	German/wav/072/GE072_37.wav	DEU072	10	DEV
DEU036_39_12	DEU036_39	DEU	eingeführt	a i n g etu f r t	7.14	7.89	0.75	einführen	VERB	VVFIN	German/wav/036/GE036_39.wav	DEU036	8	DEV
DEU024_155_21	DEU024_155	DEU	begleitet	b etu g l a i t etu t	9.46	10.0	0.54	begleiten	VERB	VVPP	German/wav/024/GE024_155.wav	DEU024	9	DEV
DEU055_100_8	DEU055_100	DEU	fürchten	f r x t etu n	4.27	4.82	0.55	fürchten	VERB	VVFIN	German/wav/055/GE055_100.wav	DEU055	6	DEV
DEU010_77_16	DEU010_77	DEU	erhofft	e r h o f t	5.1	5.6	0.5	erhoffen	VERB	VVFIN	German/wav/010/GE010_77.wav	DEU010	6	DEV
DEU016_104_3	DEU016_104	DEU	rangieren	r ol ng S il r etu n	1.12	1.71	0.59	rangieren	VERB	VVFIN	German/wav/016/GE016_104.wav	DEU016	8	DEV
DEU070_8_5	DEU070_8	DEU	freistelle	f r a i S t e l etu	1.59	2.25	0.66	freistellen	VERB	VVFIN	German/wav/070/GE070_8.wav	DEU070	9	DEV
DEU016_179_20	DEU016_179	DEU	herunterfloß	h e r u n t atu f l o	6.57	7.13	0.56	herunterfloß	VERB	ADJD	German/wav/016/GE016_179.wav	DEU016	10	DEV
DEU056_81_10	DEU056_81	DEU	bevorstehen	b etu f ol r S t el etu n	3.89	5.09	1.2	bevorstehen	VERB	VVINF	German/wav/056/GE056_81.wav	DEU056	10	DEV
DEU023_47_14	DEU023_47	DEU	einfalle	a i n f a l etu	5.06	5.6	0.54	einfalle	VERB	VVFIN	German/wav/023/GE023_47.wav	DEU023	7	DEV
DEU064_92_2	DEU064_92	DEU	resultiere	r el z u l t il r etu	0.61	1.21	0.6	resultieren	VERB	VVFIN	German/wav/064/GE064_92.wav	DEU064	9	DEV
DEU013_75_22	DEU013_75	DEU	erschossen	e r S o s etu n	10.35	10.84	0.49	erschießen	VERB	VVPP	German/wav/013/GE013_75.wav	DEU013	7	DEV
DEU075_18_11	DEU075_18	DEU	ausstrahlen	a u s S t r al l etu n	3.84	4.59	0.75	ausstrahlen	VERB	VVINF	German/wav/075/GE075_18.wav	DEU075	10	DEV
DEU035_80_2	DEU035_80	DEU	eintreten	a i n t r el t etu n	0.49	1.03	0.54	eintreten	VERB	VVFIN	German/wav/035/GE035_80.wav	DEU035	9	DEV
DEU017_35_10	DEU017_35	DEU	ghettoisiert	g e t o i s il r t	2.72	3.53	0.81	ghettoisiert	VERB	VVPP	German/wav/017/GE017_35.wav	DEU017	9	DEV
DEU025_6_7	DEU025_6	DEU	stattgegeben	S t a t g etu g el b etu n	4.26	5.12	0.86	stattgeben	VERB	VVPP	German/wav/025/GE025_6.wav	DEU025	11	DEV
DEU030_5_12	DEU030_5	DEU	betrauern	b etu t r a u etu r n	4.09	4.64	0.55	betrauern	VERB	VVINF	German/wav/030/GE030_5.wav	DEU030	9	DEV
DEU008_116_4	DEU008_116	DEU	vereinbarte	f e r a i n b al r t etu	1.34	1.97	0.63	vereinbarte	VERB	VVFIN	German/wav/008/GE008_116.wav	DEU008	11	DEV
DEU029_51_16	DEU029_51	DEU	durchgeführt	d u r x g etu f r t	8.99	9.66	0.67	durchführen	VERB	VVPP	German/wav/029/GE029_51.wav	DEU029	9	DEV
DEU007_125_13	DEU007_125	DEU	unternahm	u n t etu r n al m	7.01	7.65	0.64	unternehmen	VERB	VVFIN	German/wav/007/GE007_125.wav	DEU007	8	DEV
DEU010_186_12	DEU010_186	DEU	aufkommen	aU f k o m etu n	3.47	4.07	0.6	aufkommen	VERB	VVINF	German/wav/010/GE010_186.wav	DEU010	7	DEV
DEU014_49_15	DEU014_49	DEU	herauszuführen	h e r aU s ts u f r etu n	4.69	5.56	0.87	herausführen	VERB	VVIZU	German/wav/014/GE014_49.wav	DEU014	11	DEV
DEU008_22_1	DEU008_22	DEU	verkannt	f e r k a n t	0.0	0.75	0.75	verkennen	VERB	VVPP	German/wav/008/GE008_22.wav	DEU008	7	DEV
DEU029_36_4	DEU029_36	DEU	stagniert	S t a g n il r t	1.48	2.06	0.58	stagnieren	VERB	VVFIN	German/wav/029/GE029_36.wav	DEU029	8	DEV
DEU037_9_12	DEU037_9	DEU	polieren	p ol l il r etu n	3.98	4.45	0.47	polieren	VERB	VVINF	German/wav/037/GE037_9.wav	DEU037	7	DEV
DEU010_79_19	DEU010_79	DEU	herausstelle	h e r a u s S t e l etu	6.09	6.65	0.56	herausstellen	VERB	NE	German/wav/010/GE010_79.wav	DEU010	11	DEV
DEU070_81_10	DEU070_81	DEU	beschlagnahmt	b etu S l al k n al m t	3.12	3.89	0.77	beschlagnahmen	VERB	VVPP	German/wav/070/GE070_81.wav	DEU070	10	DEV
DEU064_89_9	DEU064_89	DEU	abgewiesen	a p g etu v il z etu n	2.77	3.36	0.59	abweisen	VERB	VVPP	German/wav/064/GE064_89.wav	DEU064	9	DEV
DEU029_64_4	DEU029_64	DEU	bräuchten	b r u x t etu n	1.43	1.85	0.42	bräuchten	VERB	VVFIN	German/wav/029/GE029_64.wav	DEU029	7	DEV
DEU051_3_11	DEU051_3	DEU	überschattet	b etu r S a t etu t	4.66	5.26	0.6	überschatten	VERB	VVPP	German/wav/051/GE051_3.wav	DEU051	8	DEV
DEU006_165_19	DEU006_165	DEU	dulden	d u l d etu n	14.15	14.57	0.42	dulden	VERB	VVINF	German/wav/006/GE006_165.wav	DEU006	6	DEV
DEU002_66_12	DEU002_66	DEU	eingerüstet	a i n g etu r s t etu t	4.82	5.66	0.84	einrüsten	VERB	VVPP	German/wav/002/GE002_66.wav	DEU002	10	DEV
DEU061_148_11	DEU061_148	DEU	geeinigt	g etu a i n i x t	3.41	4.2	0.79	einigen	VERB	VVPP	German/wav/061/GE061_148.wav	DEU061	8	DEV
DEU016_171_7	DEU016_171	DEU	verabschiedet	f e r a p S il d etu t	2.37	2.88	0.51	verabschieden	VERB	VVPP	German/wav/016/GE016_171.wav	DEU016	10	DEV
DEU036_96_16	DEU036_96	DEU	abzuwehren	a p ts ul v el r etu n	8.79	9.68	0.89	abwehren	VERB	VVIZU	German/wav/036/GE036_96.wav	DEU036	9	DEV
DEU012_121_2	DEU012_121	DEU	gestand	g etu S t a n d	0.96	1.33	0.37	gestehen	VERB	VVFIN	German/wav/012/GE012_121.wav	DEU012	7	DEV
DEU030_140_11	DEU030_140	DEU	spiegeln	S p il g etu l n	4.69	5.28	0.59	spiegeln	VERB	VVINF	German/wav/030/GE030_140.wav	DEU030	7	DEV
DEU052_116_7	DEU052_116	DEU	identifiziert	il d e n t il f il ts il r t	2.23	2.95	0.72	identifizieren	VERB	VVPP	German/wav/052/GE052_116.wav	DEU052	12	DEV
DEU051_43_15	DEU051_43	DEU	ablegen	a p l el g etu n	5.81	6.36	0.55	ablegen	VERB	VVINF	German/wav/051/GE051_43.wav	DEU051	7	DEV
DEU050_13_9	DEU050_13	DEU	gestohlen	g etu S t ol l etu n	3.14	3.57	0.43	stehlen	VERB	VVPP	German/wav/050/GE050_13.wav	DEU050	8	DEV
DEU054_75_5	DEU054_75	DEU	verschrieben	f e r S r il b etu n	1.5	2.19	0.69	verschreiben	VERB	VVPP	German/wav/054/GE054_75.wav	DEU054	9	DEV
DEU043_176_13	DEU043_176	DEU	bespannt	b etu S p a n t	5.09	5.53	0.44	bespannen	VERB	VVPP	German/wav/043/GE043_176.wav	DEU043	7	DEV
DEU043_176_13	DEU043_176	DEU	bespannt	b etu S p a n t	5.09	5.53	0.44	bespannen	VERB	VVPP	German/wav/043/GE043_176.wav	DEU043	7	DEV
DEU074_38_25	DEU074_38	DEU	produzierten	p r ol d ul ts il r t etu n	11.04	11.84	0.8	produzieren	VERB	VVFIN	German/wav/074/GE074_38.wav	DEU074	11	DEV
DEU076_97_10	DEU076_97	DEU	aufgeklärt	a u f g etu k l r t	2.81	3.35	0.54	aufklären	VERB	VVPP	German/wav/076/GE076_97.wav	DEU076	9	DEV
DEU044_77_8	DEU044_77	DEU	identifiziert	il d e n t il f il ts il r t	2.75	3.76	1.01	identifizieren	VERB	VVPP	German/wav/044/GE044_77.wav	DEU044	12	DEV
DEU066_69_12	DEU066_69	DEU	entwirft	e n t v i r f t	4.81	5.46	0.65	entwerfen	VERB	VVFIN	German/wav/066/GE066_69.wav	DEU066	8	DEV
DEU008_181_3	DEU008_181	DEU	locken	l o k etu n	1.66	1.89	0.23	locken	VERB	VVFIN	German/wav/008/GE008_181.wav	DEU008	5	DEV
DEU022_81_6	DEU022_81	DEU	ähnele	n etu l etu	3.37	3.68	0.31	ähneln	VERB	VVFIN	German/wav/022/GE022_81.wav	DEU022	4	DEV
DEU011_1_8	DEU011_1	DEU	mochte	m o x t etu	3.1	3.5	0.4	mögen	VERB	VVFIN	German/wav/011/GE011_1.wav	DEU011	5	DEV
DEU064_71_7	DEU064_71	DEU	geboren	g etu b ol r etu n	1.87	2.42	0.55	gebären	VERB	VVPP	German/wav/064/GE064_71.wav	DEU064	7	DEV
DEU008_157_13	DEU008_157	DEU	geschleppt	g etu S l e p t	4.62	5.11	0.49	schleppen	VERB	VVPP	German/wav/008/GE008_157.wav	DEU008	7	DEV
DEU008_58_5	DEU008_58	DEU	fragmentiert	f r a g m e n t il r t	1.42	2.1	0.68	fragmentiert	VERB	VVPP	German/wav/008/GE008_58.wav	DEU008	11	DEV
DEU009_25_5	DEU009_25	DEU	empfahl	e m p f al l	2.4	2.83	0.43	empfehlen	VERB	VVFIN	German/wav/009/GE009_25.wav	DEU009	6	DEV
DEU030_25_15	DEU030_25	DEU	erwärmen	e atu v atu m etu n	6.78	7.34	0.56	erwärmen	VERB	VVINF	German/wav/030/GE030_25.wav	DEU030	7	DEV
DEU017_56_1	DEU017_56	DEU	verbittert	f e r b i t etu r t	0.37	0.88	0.51	verbittern	VERB	VVPP	German/wav/017/GE017_56.wav	DEU017	9	DEV
DEU005_82_7	DEU005_82	DEU	erklärt	e r k l r t	3.11	3.62	0.51	erklären	VERB	VVFIN	German/wav/005/GE005_82.wav	DEU005	6	DEV
DEU005_79_13	DEU005_79	DEU	zugesagt	ts ul g etu z al k t	4.61	5.21	0.6	zusagen	VERB	VVPP	German/wav/005/GE005_79.wav	DEU005	8	DEV
DEU050_114_14	DEU050_114	DEU	verfrühstückt	f atu f r t k t	3.54	4.46	0.92	verfrühstückt	VERB	VVPP	German/wav/050/GE050_114.wav	DEU050	7	DEV
DEU055_13_12	DEU055_13	DEU	offenlassen	o f etu n l a s etu n	5.17	5.86	0.69	offenlassen	VERB	VVFIN	German/wav/055/GE055_13.wav	DEU055	9	DEV
DEU043_67_13	DEU043_67	DEU	auszusteigen	a u s ts ul S t a i g etu n	4.29	5.35	1.06	aussteigen	VERB	VVIZU	German/wav/043/GE043_67.wav	DEU043	12	DEV
DEU077_30_9	DEU077_30	DEU	errichtet	e r r i C t etu t	4.36	4.8	0.44	errichten	VERB	VVPP	German/wav/077/GE077_30.wav	DEU077	8	DEV
DEU075_8_12	DEU075_8	DEU	beantwortet	b etu a n t v o r t etu t	5.54	6.47	0.93	beantworten	VERB	VVPP	German/wav/075/GE075_8.wav	DEU075	11	DEV
DEU034_48_19	DEU034_48	DEU	gestaltet	g etu S t a l t etu t	4.87	5.42	0.55	gestalten	VERB	VVPP	German/wav/034/GE034_48.wav	DEU034	9	DEV
DEU037_86_10	DEU037_86	DEU	garantiert	g a r a n t il r t	4.71	5.45	0.74	garantieren	VERB	VVFIN	German/wav/037/GE037_86.wav	DEU037	9	DEV
DEU020_155_15	DEU020_155	DEU	gebiete	g etu b il t etu	6.78	7.27	0.49	gebiete	VERB	VVFIN	German/wav/020/GE020_155.wav	DEU020	6	DEV
DEU016_179_20	DEU016_179	DEU	herunterfloß	h e r u n t atu f l o	6.57	7.13	0.56	herunterfloß	VERB	ADJD	German/wav/016/GE016_179.wav	DEU016	10	DEV
DEU074_84_22	DEU074_84	DEU	hochschwang	h ol x S v a ng	10.53	11.14	0.61	hochschwang	VERB	VVFIN	German/wav/074/GE074_84.wav	DEU074	7	DEV
DEU003_12_11	DEU003_12	DEU	zugespielt	ts ul g etu S p il l t	4.79	5.57	0.78	zuspielen	VERB	VVFIN	German/wav/003/GE003_12.wav	DEU003	9	DEV
DEU060_42_9	DEU060_42	DEU	entwickeln	e n t v i k etu l n	3.11	3.6	0.49	entwickeln	VERB	VVINF	German/wav/060/GE060_42.wav	DEU060	9	DEV
DEU004_100_23	DEU004_100	DEU	herbeizuführen	h e r b a i ts ul f r etu n	8.89	9.89	1.0	herbeiführen	VERB	VVIZU	German/wav/004/GE004_100.wav	DEU004	12	DEV
DEU074_33_19	DEU074_33	DEU	gleichgeschaltet	g l aI C g etu S a l t etu t	7.77	8.67	0.9	gleichschalten	VERB	VVPP	German/wav/074/GE074_33.wav	DEU074	12	DEV
DEU015_182_5	DEU015_182	DEU	nieseln	n il z etu l n	1.37	1.88	0.51	nieseln	VERB	VVINF	German/wav/015/GE015_182.wav	DEU015	6	DEV
DEU019_18_2	DEU019_18	DEU	benötigten	b e n t i C t etu n	0.32	0.88	0.56	benötigen	VERB	VVFIN	German/wav/019/GE019_18.wav	DEU019	9	DEV
DEU001_64_15	DEU001_64	DEU	ankomme	v aI l	5.94	6.12	0.18	ankommen	VERB	VVFIN	German/wav/001/GE001_64.wav	DEU001	3	DEV
DEU014_153_7	DEU014_153	DEU	verzeihen	f e r ts a i etu n	2.21	2.78	0.57	verzeihen	VERB	VVINF	German/wav/014/GE014_153.wav	DEU014	8	DEV
DEU038_48_20	DEU038_48	DEU	rutschte	r u t S t etu	8.72	9.23	0.51	rutschen	VERB	VVFIN	German/wav/038/GE038_48.wav	DEU038	6	DEV
DEU014_27_5	DEU014_27	DEU	geklärt	g etu k l r t	1.3	1.78	0.48	klären	VERB	VVPP	German/wav/014/GE014_27.wav	DEU014	6	DEV
DEU072_72_3	DEU072_72	DEU	vorgehe	f ol r g el etu	1.58	2.15	0.57	vorgehen	VERB	VVFIN	German/wav/072/GE072_72.wav	DEU072	6	DEV
DEU039_78_21	DEU039_78	DEU	erfaßte	e atu f al t etu	7.18	7.71	0.53	erfassen	VERB	VVFIN	German/wav/039/GE039_78.wav	DEU039	6	DEV
DEU015_73_8	DEU015_73	DEU	hängen	ng etu n	2.35	2.53	0.18	hängen	VERB	VVFIN	German/wav/015/GE015_73.wav	DEU015	3	DEV
DEU043_176_2	DEU043_176	DEU	kursiert	k u r z il r t	0.64	1.04	0.4	kursieren	VERB	VVFIN	German/wav/043/GE043_176.wav	DEU043	7	DEV
DEU056_55_19	DEU056_55	DEU	verlassen	f e r l a s etu n	5.66	6.07	0.41	verlassen	VERB	VVPP	German/wav/056/GE056_55.wav	DEU056	8	DEV
DEU005_200_11	DEU005_200	DEU	zeigen	ts a i g etu n	3.8	4.25	0.45	zeigen	VERB	VVFIN	German/wav/005/GE005_200.wav	DEU005	6	DEV
DEU030_35_9	DEU030_35	DEU	gesteinigt	g etu S t a i n i x t	2.43	2.98	0.55	steinigen	VERB	VVPP	German/wav/030/GE030_35.wav	DEU030	10	DEV
DEU014_139_11	DEU014_139	DEU	fortzusetzen	f o r t ts ul z e ts etu n	3.56	4.32	0.76	fortsetzen	VERB	VVIZU	German/wav/014/GE014_139.wav	DEU014	11	DEV
DEU056_33_12	DEU056_33	DEU	verwahrt	f e r v al r t	3.46	3.99	0.53	verwahren	VERB	VVPP	German/wav/056/GE056_33.wav	DEU056	7	DEV
DEU024_40_9	DEU024_40	DEU	vortragen	f ol r t r al g etu n	4.08	4.76	0.68	vortragen	VERB	VVFIN	German/wav/024/GE024_40.wav	DEU024	9	DEV
DEU035_23_3	DEU035_23	DEU	wärmt	v r m t	1.14	1.45	0.31	wärmen	VERB	VVFIN	German/wav/035/GE035_23.wav	DEU035	4	DEV
