word_id	seg_id	language	orth	IPA	start	end	duration	lemma	POS	TAG	file	spkr_id	num_ph	split
DEU025_11_15	DEU025_11	DEU	geben	g el b etu n	5.58	5.96	0.38	geben	VERB	VVINF	German/wav/025/GE025_11.wav	DEU025	5	DEV
DEU025_11_16	DEU025_11	DEU	sagte	z al k t etu	6.88	7.3	0.42	sagen	VERB	VVFIN	German/wav/025/GE025_11.wav	DEU025	5	DEV
DEU009_133_13	DEU009_133	DEU	hieß	h il	4.31	4.5	0.19	heißen	VERB	VVFIN	German/wav/009/GE009_133.wav	DEU009	2	DEV
DEU037_64_6	DEU037_64	DEU	gilt	g i l t	2.81	3.06	0.25	gelten	VERB	VVFIN	German/wav/037/GE037_64.wav	DEU037	4	DEV
DEU008_188_3	DEU008_188	DEU	haben	h al b etu n	0.99	1.22	0.23	haben	VERB	VAFIN	German/wav/008/GE008_188.wav	DEU008	5	DEV
DEU006_125_10	DEU006_125	DEU	sagte	z al k t etu	3.41	3.99	0.58	sagen	VERB	VVFIN	German/wav/006/GE006_125.wav	DEU006	5	DEV
DEU056_36_14	DEU056_36	DEU	liegt	l il k t	4.83	5.02	0.19	liegen	VERB	VVFIN	German/wav/056/GE056_36.wav	DEU056	4	DEV
DEU005_168_4	DEU005_168	DEU	gab	g al p	2.31	2.54	0.23	geben	VERB	VVFIN	German/wav/005/GE005_168.wav	DEU005	3	DEV
DEU003_78_9	DEU003_78	DEU	gegeben	g etu g el b etu n	4.38	4.99	0.61	geben	VERB	VVPP	German/wav/003/GE003_78.wav	DEU003	7	DEV
DEU014_180_3	DEU014_180	DEU	machen	m a x etu n	0.77	1.04	0.27	machen	VERB	VVFIN	German/wav/014/GE014_180.wav	DEU014	5	DEV
DEU059_44_10	DEU059_44	DEU	geben	g el b etu n	3.12	3.37	0.25	geben	VERB	VVINF	German/wav/059/GE059_44.wav	DEU059	5	DEV
DEU029_18_27	DEU029_18	DEU	sagte	z al k t etu	9.9	10.31	0.41	sagen	VERB	VVFIN	German/wav/029/GE029_18.wav	DEU029	5	DEV
DEU069_15_2	DEU069_15	DEU	kommt	k o m t	0.72	1.04	0.32	kommen	VERB	VVFIN	German/wav/069/GE069_15.wav	DEU069	4	DEV
DEU009_73_2	DEU009_73	DEU	geht	g el t	0.81	1.12	0.31	gehen	VERB	VVFIN	German/wav/009/GE009_73.wav	DEU009	3	DEV
DEU013_186_10	DEU013_186	DEU	geben	g el b etu n	2.81	3.17	0.36	geben	VERB	VVINF	German/wav/013/GE013_186.wav	DEU013	5	DEV
DEU017_118_16	DEU017_118	DEU	haben	h al b etu n	7.44	7.78	0.34	haben	VERB	VAFIN	German/wav/017/GE017_118.wav	DEU017	5	DEV
DEU059_78_13	DEU059_78	DEU	machen	m a x etu n	3.56	3.88	0.32	machen	VERB	VVINF	German/wav/059/GE059_78.wav	DEU059	5	DEV
DEU009_107_5	DEU009_107	DEU	steht	S t el t	2.87	3.23	0.36	stehen	VERB	VVFIN	German/wav/009/GE009_107.wav	DEU009	4	DEV
DEU007_155_4	DEU007_155	DEU	begonnen	b etu g o n etu n	1.42	1.84	0.42	beginnen	VERB	VVPP	German/wav/007/GE007_155.wav	DEU007	7	DEV
DEU037_27_12	DEU037_27	DEU	haben	h al b etu n	3.91	4.24	0.33	haben	VERB	VAFIN	German/wav/037/GE037_27.wav	DEU037	5	DEV
DEU013_158_7	DEU013_158	DEU	bleibt	b l aI p t	2.26	2.76	0.5	bleiben	VERB	VVFIN	German/wav/013/GE013_158.wav	DEU013	5	DEV
DEU037_41_5	DEU037_41	DEU	teilte	t a i l t etu	2.37	2.69	0.32	teilen	VERB	VVFIN	German/wav/037/GE037_41.wav	DEU037	6	DEV
DEU059_54_11	DEU059_54	DEU	bleiben	b l a i b etu n	3.43	3.86	0.43	bleiben	VERB	VVINF	German/wav/059/GE059_54.wav	DEU059	7	DEV
DEU013_144_6	DEU013_144	DEU	gilt	g i l t	2.45	2.68	0.23	gelten	VERB	VVFIN	German/wav/013/GE013_144.wav	DEU013	4	DEV
DEU059_66_11	DEU059_66	DEU	bleiben	b l a i b etu n	4.07	4.84	0.77	bleiben	VERB	VVINF	German/wav/059/GE059_66.wav	DEU059	7	DEV
DEU046_68_14	DEU046_68	DEU	lassen	l a s etu n	5.57	7.14	1.57	lassen	VERB	VVINF	German/wav/046/GE046_68.wav	DEU046	5	DEV
DEU007_158_2	DEU007_158	DEU	geht	g el t	0.66	0.87	0.21	gehen	VERB	VVFIN	German/wav/007/GE007_158.wav	DEU007	3	DEV
DEU013_71_3	DEU013_71	DEU	geht	g el t	0.94	1.13	0.19	gehen	VERB	VVFIN	German/wav/013/GE013_71.wav	DEU013	3	DEV
DEU056_23_2	DEU056_23	DEU	teilte	t a i l t etu	0.43	0.77	0.34	teilen	VERB	VVFIN	German/wav/056/GE056_23.wav	DEU056	6	DEV
DEU009_157_8	DEU009_157	DEU	sagte	z al k t etu	3.97	4.29	0.32	sagen	VERB	VVFIN	German/wav/009/GE009_157.wav	DEU009	5	DEV
DEU016_179_21	DEU016_179	DEU	gab	g al p	7.35	7.54	0.19	geben	VERB	VVFIN	German/wav/016/GE016_179.wav	DEU016	3	DEV
DEU014_131_3	DEU014_131	DEU	sagte	z al k t etu	1.51	1.9	0.39	sagen	VERB	VVFIN	German/wav/014/GE014_131.wav	DEU014	5	DEV
DEU014_52_10	DEU014_52	DEU	liegt	l il k t	4.14	4.39	0.25	liegen	VERB	VVFIN	German/wav/014/GE014_52.wav	DEU014	4	DEV
DEU007_143_10	DEU007_143	DEU	geben	g el b etu n	3.67	4.05	0.38	geben	VERB	VVINF	German/wav/007/GE007_143.wav	DEU007	5	DEV
DEU016_170_25	DEU016_170	DEU	machen	m a x etu n	8.43	8.69	0.26	machen	VERB	VVINF	German/wav/016/GE016_170.wav	DEU016	5	DEV
DEU025_49_3	DEU025_49	DEU	gab	g al p	1.13	1.4	0.27	geben	VERB	VVFIN	German/wav/025/GE025_49.wav	DEU025	3	DEV
DEU003_32_7	DEU003_32	DEU	bleibt	b l aI p t	2.12	2.44	0.32	bleiben	VERB	VVFIN	German/wav/003/GE003_32.wav	DEU003	5	DEV
DEU016_35_12	DEU016_35	DEU	haben	h al b etu n	4.09	4.43	0.34	haben	VERB	VAINF	German/wav/016/GE016_35.wav	DEU016	5	DEV
