word_id	seg_id	language	orth	IPA	start	end	duration	lemma	POS	TAG	file	spkr_id	num_ph	split
POL015_36_10	POL015_36	POL	ma	m a	4.28	4.4	0.12	mieć	VERB	FIN	Polish/wav/015/PL015_36.wav	POL015	2	DEV
POL033_41_8	POL033_41	POL	powiedział	p o v i e dzj a w	2.05	2.52	0.47	powiedzieć	VERB	PRAET	Polish/wav/033/PL033_41.wav	POL033	8	DEV
POL034_140_6	POL034_140	POL	trzeba	t S e b a	1.93	2.22	0.29	trzeba	VERB	PRED	Polish/wav/034/PL034_140.wav	POL034	5	DEV
POL006_97_34	POL006_97	POL	ma	m a	17.97	18.1	0.13	mieć	VERB	FIN	Polish/wav/006/PL006_97.wav	POL006	2	DEV
POL011_39_24	POL011_39	POL	jest	j e s t	6.55	6.67	0.12	być	VERB	FIN	Polish/wav/011/PL011_39.wav	POL011	4	DEV
POL034_30_3	POL034_30	POL	miał	m i a w	1.23	1.38	0.15	mieć	VERB	PRAET	Polish/wav/034/PL034_30.wav	POL034	4	DEV
POL090_33_18	POL090_33	POL	mówił	m u v i w	9.58	9.98	0.4	mówić	VERB	PRAET	Polish/wav/090/PL090_33.wav	POL090	5	DEV
POL032_53_15	POL032_53	POL	trzeba	t S e b a	9.13	9.56	0.43	trzeba	VERB	PRED	Polish/wav/032/PL032_53.wav	POL032	5	DEV
POL012_51_7	POL012_51	POL	ma	m a	2.39	2.5	0.11	mieć	VERB	FIN	Polish/wav/012/PL012_51.wav	POL012	2	DEV
POL004_34_9	POL004_34	POL	jest	j e s t	4.24	4.67	0.43	być	VERB	FIN	Polish/wav/004/PL004_34.wav	POL004	4	DEV
POL046_33_19	POL046_33	POL	ma	m a	8.42	8.6	0.18	mieć	VERB	FIN	Polish/wav/046/PL046_33.wav	POL046	2	DEV
POL051_54_12	POL051_54	POL	mógł	m u g w	8.08	8.4	0.32	móc	VERB	PRAET	Polish/wav/051/PL051_54.wav	POL051	4	DEV
POL063_95_2	POL063_95	POL	ma	m a	1.09	1.23	0.14	mieć	VERB	FIN	Polish/wav/063/PL063_95.wav	POL063	2	DEV
POL096_50_9	POL096_50	POL	mógł	m u g w	2.69	2.9	0.21	móc	VERB	PRAET	Polish/wav/096/PL096_50.wav	POL096	4	DEV
POL051_62_2	POL051_62	POL	chodzi	h o dzj i	1.2	1.67	0.47	chodzić	VERB	FIN	Polish/wav/051/PL051_62.wav	POL051	4	DEV
POL051_62_7	POL051_62	POL	można	m o Z n a	3.72	4.1	0.38	można	VERB	PRED	Polish/wav/051/PL051_62.wav	POL051	5	DEV
POL051_62_23	POL051_62	POL	było	b i2 w o	12.26	12.64	0.38	być	VERB	PRAET	Polish/wav/051/PL051_62.wav	POL051	4	DEV
POL063_75_12	POL063_75	POL	ma	m a	6.78	7.01	0.23	mieć	VERB	FIN	Polish/wav/063/PL063_75.wav	POL063	2	DEV
POL062_49_10	POL062_49	POL	twierdzi	t f i e r dzj i	5.05	5.64	0.59	twierdzić	VERB	FIN	Polish/wav/062/PL062_49.wav	POL062	7	DEV
POL071_1_4	POL071_1	POL	uważa	u v a Z a	1.42	1.76	0.34	uważać	VERB	PRAET	Polish/wav/071/PL071_1.wav	POL071	5	DEV
POL071_1_9	POL071_1	POL	można	m o Z n a	2.75	3.05	0.3	można	VERB	PRED	Polish/wav/071/PL071_1.wav	POL071	5	DEV
POL035_92_17	POL035_92	POL	mówi	m u v i	4.4	4.84	0.44	mówić	VERB	FIN	Polish/wav/035/PL035_92.wav	POL035	4	DEV
POL049_43_10	POL049_43	POL	miał	m i a w	3.91	4.1	0.19	mieć	VERB	PRAET	Polish/wav/049/PL049_43.wav	POL049	4	DEV
POL049_43_17	POL049_43	POL	mógł	m u g w	5.8	6.0	0.2	móc	VERB	PRAET	Polish/wav/049/PL049_43.wav	POL049	4	DEV
POL038_61_8	POL038_61	POL	mają	m a j oc5	3.58	3.86	0.28	mieć	VERB	FIN	Polish/wav/038/PL038_61.wav	POL038	4	DEV
POL090_91_16	POL090_91	POL	twierdzi	t f i e r dzj i	10.65	11.31	0.66	twierdzić	VERB	SUBST	Polish/wav/090/PL090_91.wav	POL090	7	DEV
POL087_89_2	POL087_89	POL	musi	m u sj i	1.33	1.55	0.22	musić	VERB	FIN	Polish/wav/087/PL087_89.wav	POL087	4	DEV
POL029_84_19	POL029_84	POL	musi	m u sj i	7.57	7.81	0.24	musić	VERB	FIN	Polish/wav/029/PL029_84.wav	POL029	4	DEV
POL004_13_1	POL004_13	POL	mówi	m u v i	0.41	0.82	0.41	mówić	VERB	FIN	Polish/wav/004/PL004_13.wav	POL004	4	DEV
POL076_153_9	POL076_153	POL	ma	m a	2.18	2.33	0.15	mieć	VERB	FIN	Polish/wav/076/PL076_153.wav	POL076	2	DEV
POL098_39_3	POL098_39	POL	ma	m a	1.45	1.63	0.18	mieć	VERB	FIN	Polish/wav/098/PL098_39.wav	POL098	2	DEV
POL098_39_14	POL098_39	POL	mają	m a j oc5	5.66	5.93	0.27	mieć	VERB	FIN	Polish/wav/098/PL098_39.wav	POL098	4	DEV
POL040_40_1	POL040_40	POL	jest	j e s t	0.3	0.54	0.24	być	VERB	FIN	Polish/wav/040/PL040_40.wav	POL040	4	DEV
POL011_86_19	POL011_86	POL	mają	m a j oc5	6.81	7.04	0.23	mieć	VERB	FIN	Polish/wav/011/PL011_86.wav	POL011	4	DEV
POL079_29_1	POL079_29	POL	można	m o Z n a	0.0	0.27	0.27	można	VERB	PRED	Polish/wav/079/PL079_29.wav	POL079	5	DEV
POL026_69_1	POL026_69	POL	można	m o Z n a	0.72	1.22	0.5	można	VERB	PRED	Polish/wav/026/PL026_69.wav	POL026	5	DEV
POL045_42_8	POL045_42	POL	trzeba	t S e b a	3.99	4.38	0.39	trzeba	VERB	PRED	Polish/wav/045/PL045_42.wav	POL045	5	DEV
POL090_32_12	POL090_32	POL	należy	n a l e Z i2	5.57	6.03	0.46	należeć	VERB	FIN	Polish/wav/090/PL090_32.wav	POL090	6	DEV
POL059_43_17	POL059_43	POL	jest	j e s t	9.61	9.8	0.19	być	VERB	FIN	Polish/wav/059/PL059_43.wav	POL059	4	DEV
POL004_46_2	POL004_46	POL	było	b i2 w o	0.83	1.07	0.24	być	VERB	PRAET	Polish/wav/004/PL004_46.wav	POL004	4	DEV
POL032_91_9	POL032_91	POL	być	b i2 tsj	3.6	4.01	0.41	być	VERB	INF	Polish/wav/032/PL032_91.wav	POL032	3	DEV
POL019_78_10	POL019_78	POL	musi	m u sj i	3.51	3.77	0.26	musić	VERB	FIN	Polish/wav/019/PL019_78.wav	POL019	4	DEV
POL019_78_17	POL019_78	POL	miał	m i a w	5.47	5.7	0.23	mieć	VERB	PRAET	Polish/wav/019/PL019_78.wav	POL019	4	DEV
POL021_54_4	POL021_54	POL	musi	m u sj i	2.64	2.84	0.2	musić	VERB	FIN	Polish/wav/021/PL021_54.wav	POL021	4	DEV
POL034_130_2	POL034_130	POL	mógł	m u g w	1.03	1.23	0.2	móc	VERB	PRAET	Polish/wav/034/PL034_130.wav	POL034	4	DEV
POL034_66_18	POL034_66	POL	miał	m i a w	5.7	5.91	0.21	mieć	VERB	PRAET	Polish/wav/034/PL034_66.wav	POL034	4	DEV
POL018_59_5	POL018_59	POL	musi	m u sj i	1.59	1.79	0.2	musić	VERB	FIN	Polish/wav/018/PL018_59.wav	POL018	4	DEV
POL059_89_2	POL059_89	POL	ma	m a	1.41	1.58	0.17	mieć	VERB	FIN	Polish/wav/059/PL059_89.wav	POL059	2	DEV
POL055_3_3	POL055_3	POL	mówi	m u v i	1.63	2.04	0.41	mówić	VERB	SUBST	Polish/wav/055/PL055_3.wav	POL055	4	DEV
POL090_30_9	POL090_30	POL	mówił	m u v i w	4.1	4.62	0.52	mówić	VERB	SUBST	Polish/wav/090/PL090_30.wav	POL090	5	DEV
POL015_48_5	POL015_48	POL	stać	s t a tsj	3.49	3.88	0.39	stać	VERB	INF	Polish/wav/015/PL015_48.wav	POL015	4	DEV
POL038_89_9	POL038_89	POL	miała	m i a w a	3.43	3.73	0.3	mieć	VERB	PRAET	Polish/wav/038/PL038_89.wav	POL038	5	DEV
POL029_39_14	POL029_39	POL	uważa	u v a Z a	4.6	4.9	0.3	uważać	VERB	FIN	Polish/wav/029/PL029_39.wav	POL029	5	DEV
POL032_30_16	POL032_30	POL	mówi	m u v i	6.3	6.71	0.41	mówić	VERB	FIN	Polish/wav/032/PL032_30.wav	POL032	4	DEV
POL098_83_5	POL098_83	POL	mówi	m u v i	1.55	1.94	0.39	mówić	VERB	FIN	Polish/wav/098/PL098_83.wav	POL098	4	DEV
POL076_172_3	POL076_172	POL	jest	j e s t	0.57	0.78	0.21	być	VERB	FIN	Polish/wav/076/PL076_172.wav	POL076	4	DEV
POL068_16_3	POL068_16	POL	trzeba	t S e b a	0.63	0.98	0.35	trzeba	VERB	PRED	Polish/wav/068/PL068_16.wav	POL068	5	DEV
POL065_10_3	POL065_10	POL	ma	m a	2.5	2.65	0.15	mieć	VERB	FIN	Polish/wav/065/PL065_10.wav	POL065	2	DEV
POL065_47_7	POL065_47	POL	twierdzi	t f i e r dzj i	2.26	2.73	0.47	twierdzić	VERB	FIN	Polish/wav/065/PL065_47.wav	POL065	7	DEV
POL087_31_28	POL087_31	POL	uważa	u v a Z a	11.19	11.7	0.51	uważać	VERB	SUBST	Polish/wav/087/PL087_31.wav	POL087	5	DEV
POL087_31_34	POL087_31	POL	trzeba	t S e b a	14.15	14.51	0.36	trzeba	VERB	PRED	Polish/wav/087/PL087_31.wav	POL087	5	DEV
POL062_28_3	POL062_28	POL	ma	m a	1.83	1.94	0.11	mieć	VERB	FIN	Polish/wav/062/PL062_28.wav	POL062	2	DEV
POL062_28_40	POL062_28	POL	chodzi	h o dzj i	16.17	16.52	0.35	chodzić	VERB	FIN	Polish/wav/062/PL062_28.wav	POL062	4	DEV
POL035_52_4	POL035_52	POL	jest	j e s t	0.74	0.89	0.15	być	VERB	FIN	Polish/wav/035/PL035_52.wav	POL035	4	DEV
POL035_75_10	POL035_75	POL	ma	m a	3.57	3.77	0.2	mieć	VERB	FIN	Polish/wav/035/PL035_75.wav	POL035	2	DEV
POL004_14_2	POL004_14	POL	jest	j e s t	1.0	1.25	0.25	być	VERB	FIN	Polish/wav/004/PL004_14.wav	POL004	4	DEV
POL056_87_18	POL056_87	POL	mówił	m u v i w	5.67	6.1	0.43	mówić	VERB	PRAET	Polish/wav/056/PL056_87.wav	POL056	5	DEV
POL032_74_10	POL032_74	POL	ma	m a	6.88	7.41	0.53	mieć	VERB	FIN	Polish/wav/032/PL032_74.wav	POL032	2	DEV
POL098_98_12	POL098_98	POL	mają	m a j oc5	4.97	5.31	0.34	mieć	VERB	FIN	Polish/wav/098/PL098_98.wav	POL098	4	DEV
POL098_33_12	POL098_33	POL	ma	m a	4.37	4.52	0.15	mieć	VERB	FIN	Polish/wav/098/PL098_33.wav	POL098	2	DEV
POL056_99_3	POL056_99	POL	było	b i2 w o	0.72	1.14	0.42	być	VERB	PRAET	Polish/wav/056/PL056_99.wav	POL056	4	DEV
POL068_86_10	POL068_86	POL	powiedział	p o v i e dzj a w	1.64	2.03	0.39	powiedzieć	VERB	SUBST	Polish/wav/068/PL068_86.wav	POL068	8	DEV
POL063_19_32	POL063_19	POL	miał	m i a w	17.6	17.83	0.23	mieć	VERB	PRAET	Polish/wav/063/PL063_19.wav	POL063	4	DEV
POL078_65_7	POL078_65	POL	mówił	m u v i w	2.8	3.06	0.26	mówić	VERB	PRAET	Polish/wav/078/PL078_65.wav	POL078	5	DEV
POL060_75_5	POL060_75	POL	można	m o Z n a	1.1	1.31	0.21	można	VERB	PRED	Polish/wav/060/PL060_75.wav	POL060	5	DEV
POL021_25_2	POL021_25	POL	chodzi	h o dzj i	0.68	0.95	0.27	chodzić	VERB	FIN	Polish/wav/021/PL021_25.wav	POL021	4	DEV
POL041_13_12	POL041_13	POL	ma	m a	4.3	4.46	0.16	mieć	VERB	FIN	Polish/wav/041/PL041_13.wav	POL041	2	DEV
POL065_97_2	POL065_97	POL	trzeba	t S e b a	0.68	1.0	0.32	trzeba	VERB	PRED	Polish/wav/065/PL065_97.wav	POL065	5	DEV
POL004_97_4	POL004_97	POL	jest	j e s t	1.74	1.99	0.25	być	VERB	FIN	Polish/wav/004/PL004_97.wav	POL004	4	DEV
POL004_97_9	POL004_97	POL	być	b i2 tsj	4.08	4.25	0.17	być	VERB	INF	Polish/wav/004/PL004_97.wav	POL004	3	DEV
POL077_15_9	POL077_15	POL	ma	m a	3.12	3.23	0.11	mieć	VERB	FIN	Polish/wav/077/PL077_15.wav	POL077	2	DEV
POL076_36_2	POL076_36	POL	jest	j e s t	0.73	1.01	0.28	być	VERB	FIN	Polish/wav/076/PL076_36.wav	POL076	4	DEV
POL096_18_1	POL096_18	POL	ma	m a	0.16	0.31	0.15	mieć	VERB	FIN	Polish/wav/096/PL096_18.wav	POL096	2	DEV
POL029_31_4	POL029_31	POL	chodzi	h o dzj i	0.86	1.25	0.39	chodzić	VERB	FIN	Polish/wav/029/PL029_31.wav	POL029	4	DEV
POL051_47_4	POL051_47	POL	będzie	b eo5 dzj e	1.33	1.65	0.32	będzie	VERB	BEDZIE	Polish/wav/051/PL051_47.wav	POL051	4	DEV
POL032_18_5	POL032_18	POL	ma	m a	2.18	2.36	0.18	mieć	VERB	FIN	Polish/wav/032/PL032_18.wav	POL032	2	DEV
POL041_29_4	POL041_29	POL	być	b i2 tsj	1.36	1.56	0.2	być	VERB	INF	Polish/wav/041/PL041_29.wav	POL041	3	DEV
POL049_77_13	POL049_77	POL	miał	m i a w	7.17	7.35	0.18	mieć	VERB	PRAET	Polish/wav/049/PL049_77.wav	POL049	4	DEV
POL051_53_11	POL051_53	POL	mógł	m u g w	4.85	5.1	0.25	móc	VERB	PRAET	Polish/wav/051/PL051_53.wav	POL051	4	DEV
POL041_18_4	POL041_18	POL	ma	m a	1.53	1.67	0.14	mieć	VERB	FIN	Polish/wav/041/PL041_18.wav	POL041	2	DEV
POL098_85_1	POL098_85	POL	będzie	b eo5 dzj e	0.21	0.55	0.34	będzie	VERB	BEDZIE	Polish/wav/098/PL098_85.wav	POL098	4	DEV
POL090_64_10	POL090_64	POL	miał	m i a w	4.71	4.96	0.25	mieć	VERB	PRAET	Polish/wav/090/PL090_64.wav	POL090	4	DEV
POL046_88_3	POL046_88	POL	można	m o Z n a	1.34	1.71	0.37	można	VERB	PRED	Polish/wav/046/PL046_88.wav	POL046	5	DEV
POL046_88_17	POL046_88	POL	mówi	m u v i	7.48	7.78	0.3	mówić	VERB	FIN	Polish/wav/046/PL046_88.wav	POL046	4	DEV
POL040_42_1	POL040_42	POL	trzeba	t S e b a	0.52	0.84	0.32	trzeba	VERB	PRED	Polish/wav/040/PL040_42.wav	POL040	5	DEV
POL068_72_9	POL068_72	POL	ma	m a	4.27	4.44	0.17	mieć	VERB	FIN	Polish/wav/068/PL068_72.wav	POL068	2	DEV
POL093_74_4	POL093_74	POL	mogą	m o g oc5	1.85	2.19	0.34	móc	VERB	FIN	Polish/wav/093/PL093_74.wav	POL093	4	DEV
POL093_74_7	POL093_74	POL	stać	s t a tsj	3.53	3.85	0.32	stać	VERB	INF	Polish/wav/093/PL093_74.wav	POL093	4	DEV
POL090_90_2	POL090_90	POL	być	b i2 tsj	1.25	1.54	0.29	być	VERB	INF	Polish/wav/090/PL090_90.wav	POL090	3	DEV
POL090_90_3	POL090_90	POL	może	m o Z e	1.54	1.91	0.37	móc	VERB	FIN	Polish/wav/090/PL090_90.wav	POL090	4	DEV
POL059_37_3	POL059_37	POL	mogą	m o g oc5	4.14	4.68	0.54	móc	VERB	FIN	Polish/wav/059/PL059_37.wav	POL059	4	DEV
POL035_98_8	POL035_98	POL	może	m o Z e	1.38	1.79	0.41	móc	VERB	FIN	Polish/wav/035/PL035_98.wav	POL035	4	DEV
POL078_67_4	POL078_67	POL	było	b i2 w o	1.59	1.79	0.2	być	VERB	PRAET	Polish/wav/078/PL078_67.wav	POL078	4	DEV
POL071_89_15	POL071_89	POL	było	b i2 w o	6.05	6.32	0.27	być	VERB	PRAET	Polish/wav/071/PL071_89.wav	POL071	4	DEV
POL022_22_1	POL022_22	POL	ma	m a	0.43	0.63	0.2	mieć	VERB	FIN	Polish/wav/022/PL022_22.wav	POL022	2	DEV
POL060_77_15	POL060_77	POL	mają	m a j oc5	5.0	5.19	0.19	mieć	VERB	FIN	Polish/wav/060/PL060_77.wav	POL060	4	DEV
POL068_75_41	POL068_75	POL	mógł	m u g w	16.2	16.46	0.26	móc	VERB	PRAET	Polish/wav/068/PL068_75.wav	POL068	4	DEV
POL063_52_12	POL063_52	POL	ma	m a	6.02	6.16	0.14	mieć	VERB	FIN	Polish/wav/063/PL063_52.wav	POL063	2	DEV
POL045_79_8	POL045_79	POL	ma	m a	3.53	3.71	0.18	mieć	VERB	FIN	Polish/wav/045/PL045_79.wav	POL045	2	DEV
POL090_79_4	POL090_79	POL	uważa	u v a Z a	3.03	3.55	0.52	uważać	VERB	FIN	Polish/wav/090/PL090_79.wav	POL090	5	DEV
